id	name	wiki_title	endowment_raw	old_placeholder_b
floridaam	Florida A&M University	Florida A&M University	$135.7 million (2025)<ref>{{cite web	0.13
ncat	North Carolina A&T State University	North Carolina A&T State University	$202 million (2024)<ref name="WFMY-TV">{{cite web	0.09
jacksonstate	Jackson State University	Jackson State University	$60 million (2019)<ref>{{cite web	0.07
southern	Southern University and A&M College	Southern University		0.03
grambling	Grambling State University	Grambling State University	$7 million<ref>{{cite web	0.03
alcorn	Alcorn State University	Alcorn State University	$21.3 million (2021)<ref>{{Cite web	0.06
bethunecookman	Bethune-Cookman University	Bethune–Cookman University	$60 million (2025)<ref>{{cite news	0.05
delawarestate	Delaware State University	University of Delaware	$2.06 billion (2025)<ref name=NACUBO>{{Cite web	0.04
morganstate	Morgan State University	Morgan State University		0.06
prairieview	Prairie View A&M University	Prairie View A&M University	$148.5 million<ref>{{cite web	0.15
tennesseestate	Tennessee State University	Tennessee State University	$91.1 million (2021)<ref>As of March 7, 2022. {{cite report	0.09
texassouthern	Texas Southern University	Texas Southern University	$100 million (2024)<ref>{{cite web	0.06
alabamaam	Alabama A&M University	Alabama A&M University	$48.0&nbsp;million (2019)<ref>As of June 30, 2019. {{cite web	0.12
hampton	Hampton University	Hampton University	$280.6 million (2020)<ref>As of June 30, 2020. {{cite report	0.33
tuskegee	Tuskegee University	Tuskegee University	$157 million (2021)<ref>{{cite web	0.15
xavierla	Xavier University of Louisiana	Xavier University of Louisiana	$178 million (2022)<ref>{{cite web	0.2
dillard	Dillard University	Annie Dillard		0.1
norfolkstate	Norfolk State University	Norfolk State University	$109.5 million (2025)<ref>{{cite web	0.03
scstate	South Carolina State University	University of South Carolina	$1.15 billion (2025)<ref>{{cite web	0.02
nccentral	North Carolina Central University	North Carolina Central University	$89 million (2024)<ref>{{cite web	0.07
oberlin	Oberlin College	Oberlin College	$1.48 billion (2025)<ref>{{cite web	0.95
kenyon	Kenyon College	Kenyon College	$680 million (2025)<ref>{{cite web	0.55
grinnell	Grinnell College	Grinnell College	$2.85 billion (2025)<ref>{{cite web	2.7
reed	Reed College	Reed College	$876.8 million (2025)<ref>{{cite web	0.65
whitman	Whitman College	Whitman College	$847.6 million (2025)<ref>{{cite web	0.65
coloradocollege	Colorado College	Colorado State University	$667.5 million (2025)<ref>{{cite web	0.9
trinitytx	Trinity University	Trinity University	$2.00 billion (2025)<ref name="2024-25 Trinity University Annual Report">As of August 18, 2025. {{cite web	1.8
rhodes	Rhodes College	Rhodes College	$448.5 million (2025)<ref>{{cite web	0.4
centre	Centre College	Centre College	$414.3 million (2025)<ref>{{cite web	0.35
denison	Denison University	Denison University	$1.1 billion (2025)<ref>{{cite web	1.1
depauw	DePauw University	DePauw University	$1.1 Billion (2026)<ref>{{cite news	0.75
wabash	Wabash College	Wabash College	$465 million (2025)<ref>{{cite web	0.4
stolaf	St. Olaf College	St. Olaf College	$881.6 million (2025)<ref>{{cite web	0.65
lawrence	Lawrence University	St. Lawrence University	$416.8 million (2024)<ref name=endowment>{{cite web	0.45
beloit	Beloit College	Beloit College	$85.6 million in 2025	0.15
knox	Knox College	Knox College, Toronto		0.18
wooster	The College of Wooster	College of Wooster	$437 million (2024)	0.35
gettysburg	Gettysburg College	Gettysburg College	$459.2 million (2025)<ref>{{cite web	0.4
fandm	Franklin & Marshall College	Franklin & Marshall College	$439.2 million (2024)<ref name=endowment>{{cite web	0.45
dickinson	Dickinson College	Dickinson College	$720 million (2025)<ref>As of June 30, 2025. {{cite report	0.55
lafayette	Lafayette College	Lafayette College	$1.2 billion (2025)<ref>{{cite web	1.0
holycross	College of the Holy Cross	College of the Holy Cross	$1.21 billion (2025)<ref>{{cite web	1.1
bates	Bates College	Bates College	$485.3 million (2025)<ref>{{cite web	0.4
trinityct	Trinity College	Trinity College, Cambridge	[[Pound sterling	0.75
conncollege	Connecticut College	List of colleges and universities in Connecticut		0.35
skidmore	Skidmore College	Skidmore College	$528 million (2025)<ref>{{cite web	0.45
union	Union College	University and College Union		0.5
bard	Bard College	Bard College	$1 billion	0.35
pitzer	Pitzer College	Pitzer College	$191.8 million (2024)<ref name=NACUBO>As of June 30, 2024. {{cite web	0.18
